"P & C Collateral (Non-Auto, Non-Homeowners)",Enterprise Collateral,Enterprise Tenure,Business Type,RELATIONSHIP
PD,EE,CD,BD,ASF
PD,EE,CE,BA,ASG
PD,EE,CE,BB,ASG
PD,EE,CE,BC,ASG
PD,EE,CE,BD,ASG
PD,EE,CF,BA,ASH
PD,EE,CF,BB,ASH
PD,EE,CF,BC,ASH
PD,EE,CF,BD,ASH
PD,EE,CG,BA,ASI
PD,EE,CG,BB,ASI
PD,EE,CG,BC,ASI
PD,EE,CG,BD,ASI
PD,EF,CA,BA,ASC
PD,EF,CA,BB,ASC
PD,EF,CA,BC,ASC
PD,EF,CA,BD,ASC
PD,EF,CB,BA,ASD
PD,EF,CB,BB,ASD
PD,EF,CB,BC,ASD
PD,EF,CB,BD,ASD
PD,EF,CC,BA,ASE
PD,EF,CC,BB,ASE
PD,EF,CC,BC,ASE
PD,EF,CC,BD,ASE
PD,EF,CD,BA,ASF
PD,EF,CD,BB,ASF
PD,EF,CD,BC,ASF
PD,EF,CD,BD,ASF
PD,EF,CE,BA,ASG
PD,EF,CE,BB,ASG
PD,EF,CE,BC,ASG
PD,EF,CE,BD,ASG
PD,EF,CF,BA,ASH
PD,EF,CF,BB,ASH
PD,EF,CF,BC,ASH
PD,EF,CF,BD,ASH
PD,EF,CG,BA,ASI
PD,EF,CG,BB,ASI
PD,EF,CG,BC,ASI
PD,EF,CG,BD,ASI
PD,EG,CA,BA,ASC
PD,EG,CA,BB,ASC
PD,EG,CA,BC,ASC
PD,EG,CA,BD,ASC
PD,EG,CB,BA,ASD
PD,EG,CB,BB,ASD
PD,EG,CB,BC,ASD
PD,EG,CB,BD,ASD
PD,EG,CC,BA,ASE
PD,EG,CC,BB,ASE
PD,EG,CC,BC,ASE
PD,EG,CC,BD,ASE
PD,EG,CD,BA,ASF
PD,EG,CD,BB,ASF
PD,EG,CD,BC,ASF
PD,EG,CD,BD,ASF
PD,EG,CE,BA,ASG
PD,EG,CE,BB,ASG
PD,EG,CE,BC,ASG
PD,EG,CE,BD,ASG
PD,EG,CF,BA,ASH
PD,EG,CF,BB,ASH
